search_interest,year,month,source,search_term
95,2019,1,Google Trends,yrittäjäksi
100,2019,2,Google Trends,yrittäjäksi
89,2019,3,Google Trends,yrittäjäksi
66,2019,4,Google Trends,yrittäjäksi
64,2019,5,Google Trends,yrittäjäksi
73,2019,6,Google Trends,yrittäjäksi
63,2019,7,Google Trends,yrittäjäksi
57,2019,8,Google Trends,yrittäjäksi
91,2019,9,Google Trends,yrittäjäksi
72,2019,10,Google Trends,yrittäjäksi
98,2019,11,Google Trends,yrittäjäksi
65,2019,12,Google Trends,yrittäjäksi
95,2020,1,Google Trends,yrittäjäksi
57,2020,2,Google Trends,yrittäjäksi
54,2020,3,Google Trends,yrittäjäksi
54,2020,4,Google Trends,yrittäjäksi
62,2020,5,Google Trends,yrittäjäksi
34,2020,6,Google Trends,yrittäjäksi
62,2020,7,Google Trends,yrittäjäksi
60,2020,8,Google Trends,yrittäjäksi
65,2020,9,Google Trends,yrittäjäksi
55,2020,10,Google Trends,yrittäjäksi
74,2020,11,Google Trends,yrittäjäksi
48,2020,12,Google Trends,yrittäjäksi
58,2021,1,Google Trends,yrittäjäksi
64,2021,2,Google Trends,yrittäjäksi
39,2021,3,Google Trends,yrittäjäksi
51,2021,4,Google Trends,yrittäjäksi
65,2021,5,Google Trends,yrittäjäksi
49,2021,6,Google Trends,yrittäjäksi
57,2021,7,Google Trends,yrittäjäksi
65,2021,8,Google Trends,yrittäjäksi
65,2021,9,Google Trends,yrittäjäksi
50,2021,10,Google Trends,yrittäjäksi
65,2021,11,Google Trends,yrittäjäksi
41,2021,12,Google Trends,yrittäjäksi
76,2022,1,Google Trends,yrittäjäksi
61,2022,2,Google Trends,yrittäjäksi
54,2022,3,Google Trends,yrittäjäksi
56,2022,4,Google Trends,yrittäjäksi
51,2022,5,Google Trends,yrittäjäksi
44,2022,6,Google Trends,yrittäjäksi
42,2022,7,Google Trends,yrittäjäksi
47,2022,8,Google Trends,yrittäjäksi
55,2022,9,Google Trends,yrittäjäksi
64,2022,10,Google Trends,yrittäjäksi
64,2022,11,Google Trends,yrittäjäksi
47,2022,12,Google Trends,yrittäjäksi
67,2023,1,Google Trends,yrittäjäksi
65,2023,2,Google Trends,yrittäjäksi
60,2023,3,Google Trends,yrittäjäksi
54,2023,4,Google Trends,yrittäjäksi
41,2023,5,Google Trends,yrittäjäksi
41,2023,6,Google Trends,yrittäjäksi
26,2023,7,Google Trends,yrittäjäksi
49,2023,8,Google Trends,yrittäjäksi
64,2023,9,Google Trends,yrittäjäksi
62,2023,10,Google Trends,yrittäjäksi
49,2023,11,Google Trends,yrittäjäksi
30,2023,12,Google Trends,yrittäjäksi
64,2024,1,Google Trends,yrittäjäksi
56,2024,2,Google Trends,yrittäjäksi
68,2024,3,Google Trends,yrittäjäksi
51,2024,4,Google Trends,yrittäjäksi
52,2024,5,Google Trends,yrittäjäksi
32,2024,6,Google Trends,yrittäjäksi
42,2024,7,Google Trends,yrittäjäksi
49,2024,8,Google Trends,yrittäjäksi
74,2024,9,Google Trends,yrittäjäksi
57,2024,10,Google Trends,yrittäjäksi
59,2024,11,Google Trends,yrittäjäksi
36,2024,12,Google Trends,yrittäjäksi
59,2025,1,Google Trends,yrittäjäksi
47,2025,2,Google Trends,yrittäjäksi
80,2025,3,Google Trends,yrittäjäksi
57,2025,4,Google Trends,yrittäjäksi
46,2025,5,Google Trends,yrittäjäksi
48,2025,6,Google Trends,yrittäjäksi
44,2025,7,Google Trends,yrittäjäksi
52,2025,8,Google Trends,yrittäjäksi
54,2025,9,Google Trends,yrittäjäksi
50,2025,10,Google Trends,yrittäjäksi
58,2025,11,Google Trends,yrittäjäksi
37,2025,12,Google Trends,yrittäjäksi
23,2026,1,Google Trends,yrittäjäksi
34,2026,2,Google Trends,yrittäjäksi
53,2026,3,Google Trends,yrittäjäksi
30,2026,4,Google Trends,yrittäjäksi
58,2026,5,Google Trends,yrittäjäksi
