category,rate,year,month,source
Employment rate,74.9,2019,1,stat.fi
"Employment rate, trend",75.8,2019,1,stat.fi
Employment rate,74.3,2019,2,stat.fi
"Employment rate, trend",75.8,2019,2,stat.fi
Employment rate,75.6,2019,3,stat.fi
"Employment rate, trend",75.7,2019,3,stat.fi
Employment rate,74.7,2019,4,stat.fi
"Employment rate, trend",75.6,2019,4,stat.fi
Employment rate,76.0,2019,5,stat.fi
"Employment rate, trend",75.6,2019,5,stat.fi
Employment rate,77.4,2019,6,stat.fi
"Employment rate, trend",75.8,2019,6,stat.fi
Employment rate,77.6,2019,7,stat.fi
"Employment rate, trend",76.0,2019,7,stat.fi
Employment rate,76.5,2019,8,stat.fi
"Employment rate, trend",76.0,2019,8,stat.fi
Employment rate,76.3,2019,9,stat.fi
"Employment rate, trend",76.1,2019,9,stat.fi
Employment rate,75.9,2019,10,stat.fi
"Employment rate, trend",76.2,2019,10,stat.fi
Employment rate,75.4,2019,11,stat.fi
"Employment rate, trend",76.3,2019,11,stat.fi
Employment rate,76.8,2019,12,stat.fi
"Employment rate, trend",76.5,2019,12,stat.fi
Employment rate,75.8,2020,1,stat.fi
"Employment rate, trend",76.7,2020,1,stat.fi
Employment rate,74.8,2020,2,stat.fi
"Employment rate, trend",76.8,2020,2,stat.fi
Employment rate,75.2,2020,3,stat.fi
"Employment rate, trend",74.6,2020,3,stat.fi
Employment rate,74.4,2020,4,stat.fi
"Employment rate, trend",74.5,2020,4,stat.fi
Employment rate,73.6,2020,5,stat.fi
"Employment rate, trend",74.3,2020,5,stat.fi
Employment rate,76.2,2020,6,stat.fi
"Employment rate, trend",74.3,2020,6,stat.fi
Employment rate,76.1,2020,7,stat.fi
"Employment rate, trend",74.4,2020,7,stat.fi
Employment rate,74.7,2020,8,stat.fi
"Employment rate, trend",74.5,2020,8,stat.fi
Employment rate,75.9,2020,9,stat.fi
"Employment rate, trend",74.6,2020,9,stat.fi
Employment rate,76.0,2020,10,stat.fi
"Employment rate, trend",74.7,2020,10,stat.fi
Employment rate,75.5,2020,11,stat.fi
"Employment rate, trend",74.8,2020,11,stat.fi
Employment rate,74.6,2020,12,stat.fi
"Employment rate, trend",74.9,2020,12,stat.fi
Employment rate,74.1,2021,1,stat.fi
"Employment rate, trend",75.0,2021,1,stat.fi
Employment rate,74.8,2021,2,stat.fi
"Employment rate, trend",75.2,2021,2,stat.fi
Employment rate,75.0,2021,3,stat.fi
"Employment rate, trend",75.5,2021,3,stat.fi
Employment rate,75.0,2021,4,stat.fi
"Employment rate, trend",75.9,2021,4,stat.fi
Employment rate,77.5,2021,5,stat.fi
"Employment rate, trend",76.4,2021,5,stat.fi
Employment rate,78.7,2021,6,stat.fi
"Employment rate, trend",76.8,2021,6,stat.fi
Employment rate,78.2,2021,7,stat.fi
"Employment rate, trend",76.9,2021,7,stat.fi
Employment rate,78.1,2021,8,stat.fi
"Employment rate, trend",76.9,2021,8,stat.fi
Employment rate,75.9,2021,9,stat.fi
"Employment rate, trend",76.9,2021,9,stat.fi
Employment rate,77.0,2021,10,stat.fi
"Employment rate, trend",77.0,2021,10,stat.fi
Employment rate,77.0,2021,11,stat.fi
"Employment rate, trend",77.3,2021,11,stat.fi
Employment rate,77.7,2021,12,stat.fi
"Employment rate, trend",77.7,2021,12,stat.fi
Employment rate,76.5,2022,1,stat.fi
"Employment rate, trend",77.9,2022,1,stat.fi
Employment rate,77.7,2022,2,stat.fi
"Employment rate, trend",78.0,2022,2,stat.fi
Employment rate,77.0,2022,3,stat.fi
"Employment rate, trend",77.9,2022,3,stat.fi
Employment rate,77.1,2022,4,stat.fi
"Employment rate, trend",77.9,2022,4,stat.fi
Employment rate,79.2,2022,5,stat.fi
"Employment rate, trend",78.0,2022,5,stat.fi
Employment rate,79.7,2022,6,stat.fi
"Employment rate, trend",78.0,2022,6,stat.fi
Employment rate,78.5,2022,7,stat.fi
"Employment rate, trend",78.0,2022,7,stat.fi
Employment rate,78.8,2022,8,stat.fi
"Employment rate, trend",78.1,2022,8,stat.fi
Employment rate,78.0,2022,9,stat.fi
"Employment rate, trend",78.3,2022,9,stat.fi
Employment rate,78.9,2022,10,stat.fi
"Employment rate, trend",78.5,2022,10,stat.fi
Employment rate,78.5,2022,11,stat.fi
"Employment rate, trend",78.5,2022,11,stat.fi
Employment rate,77.9,2022,12,stat.fi
"Employment rate, trend",78.4,2022,12,stat.fi
Employment rate,76.6,2023,1,stat.fi
"Employment rate, trend",78.2,2023,1,stat.fi
Employment rate,77.7,2023,2,stat.fi
"Employment rate, trend",78.3,2023,2,stat.fi
Employment rate,77.7,2023,3,stat.fi
"Employment rate, trend",78.3,2023,3,stat.fi
Employment rate,77.8,2023,4,stat.fi
"Employment rate, trend",78.4,2023,4,stat.fi
Employment rate,79.5,2023,5,stat.fi
"Employment rate, trend",78.2,2023,5,stat.fi
Employment rate,79.8,2023,6,stat.fi
"Employment rate, trend",78.0,2023,6,stat.fi
Employment rate,77.7,2023,7,stat.fi
"Employment rate, trend",77.9,2023,7,stat.fi
Employment rate,78.9,2023,8,stat.fi
"Employment rate, trend",77.8,2023,8,stat.fi
Employment rate,77.8,2023,9,stat.fi
"Employment rate, trend",77.7,2023,9,stat.fi
Employment rate,77.4,2023,10,stat.fi
"Employment rate, trend",77.6,2023,10,stat.fi
Employment rate,76.9,2023,11,stat.fi
"Employment rate, trend",77.5,2023,11,stat.fi
Employment rate,77.1,2023,12,stat.fi
"Employment rate, trend",77.4,2023,12,stat.fi
Employment rate,76.5,2024,1,stat.fi
"Employment rate, trend",77.4,2024,1,stat.fi
Employment rate,76.9,2024,2,stat.fi
"Employment rate, trend",77.3,2024,2,stat.fi
Employment rate,76.1,2024,3,stat.fi
"Employment rate, trend",77.1,2024,3,stat.fi
Employment rate,76.3,2024,4,stat.fi
"Employment rate, trend",76.9,2024,4,stat.fi
Employment rate,77.8,2024,5,stat.fi
"Employment rate, trend",76.8,2024,5,stat.fi
Employment rate,78.2,2024,6,stat.fi
"Employment rate, trend",76.7,2024,6,stat.fi
Employment rate,77.4,2024,7,stat.fi
"Employment rate, trend",76.6,2024,7,stat.fi
Employment rate,76.9,2024,8,stat.fi
"Employment rate, trend",76.5,2024,8,stat.fi
Employment rate,76.4,2024,9,stat.fi
"Employment rate, trend",76.3,2024,9,stat.fi
Employment rate,76.1,2024,10,stat.fi
"Employment rate, trend",76.2,2024,10,stat.fi
Employment rate,75.7,2024,11,stat.fi
"Employment rate, trend",76.2,2024,11,stat.fi
Employment rate,75.9,2024,12,stat.fi
"Employment rate, trend",76.2,2024,12,stat.fi
Employment rate,75.8,2025,1,stat.fi
"Employment rate, trend",76.2,2025,1,stat.fi
Employment rate,74.5,2025,2,stat.fi
"Employment rate, trend",76.1,2025,2,stat.fi
Employment rate,75.6,2025,3,stat.fi
"Employment rate, trend",76.2,2025,3,stat.fi
Employment rate,76.2,2025,4,stat.fi
"Employment rate, trend",76.2,2025,4,stat.fi
Employment rate,77.0,2025,5,stat.fi
"Employment rate, trend",76.1,2025,5,stat.fi
Employment rate,77.2,2025,6,stat.fi
"Employment rate, trend",75.9,2025,6,stat.fi
Employment rate,76.5,2025,7,stat.fi
"Employment rate, trend",75.8,2025,7,stat.fi
Employment rate,76.2,2025,8,stat.fi
"Employment rate, trend",75.9,2025,8,stat.fi
Employment rate,75.9,2025,9,stat.fi
"Employment rate, trend",75.9,2025,9,stat.fi
Employment rate,76.3,2025,10,stat.fi
"Employment rate, trend",75.9,2025,10,stat.fi
Employment rate,75.6,2025,11,stat.fi
"Employment rate, trend",75.9,2025,11,stat.fi
Employment rate,75.0,2025,12,stat.fi
"Employment rate, trend",75.7,2025,12,stat.fi
Employment rate,74.8,2026,1,stat.fi
"Employment rate, trend",75.7,2026,1,stat.fi
Employment rate,75.3,2026,2,stat.fi
"Employment rate, trend",75.6,2026,2,stat.fi
Employment rate,74.2,2026,3,stat.fi
"Employment rate, trend",75.4,2026,3,stat.fi
Employment rate,74.7,2026,4,stat.fi
"Employment rate, trend",75.3,2026,4,stat.fi
